num,Q78,Q95,Accuracy_Rate1,Q96,Q97,Accuracy_Rate2,Q84,Q100,Accuracy_Rate3,Q101,Q102,Accuracy_Rate4,Q107,Q108,Accuracy_Rate5,Q109,Q110,Accuracy_Rate6,Avg_Accuracy_Rate_1_2,Avg_Accuracy_Rate_3_4,Avg_Accuracy_Rate_5_6,team_exp_rating,ai_exp_rating,data_skill_rating
137,I would remove Cam,I would remove Gon,50.0,"Yes, Minh should move to Team 12","No, Nia should not move to Team 14",0.0,I would not remove anyone,I would not remove anyone,50.0,"No, Sam should not move to Team 16","Yes, Tim should move to Team 18",50.0,I would remove Val,I would not remove anyone,100.0,"Yes, Rue should move to Team 12","No, Sage should not move to Team 16",100.0,25.0,50.0,100.0,LOW,HIGH,HIGH
138,I would remove Cam,I would not remove anyone,100.0,"No, Minh should not move to Team 12","Yes, Nia should move to Team 14",100.0,I would not remove anyone,I would not remove anyone,50.0,It doesn't matter: the change is very minor and it may create other problems,"No, Tim should not move to Team 18",50.0,I would remove Val,I would not remove anyone,100.0,"Yes, Rue should move to Team 12","No, Sage should not move to Team 16",100.0,100.0,50.0,100.0,LOW,LOW,HIGH
139,I would remove Cam,I would not remove anyone,100.0,"No, Minh should not move to Team 12","Yes, Nia should move to Team 14",100.0,I would not remove anyone,I would not remove anyone,50.0,"No, Sam should not move to Team 16","Yes, Tim should move to Team 18",50.0,I would remove Val,I would not remove anyone,100.0,"Yes, Rue should move to Team 12","No, Sage should not move to Team 16",100.0,100.0,50.0,100.0,HIGH,LOW,HIGH
140,I would remove Cam,I would not remove anyone,100.0,"No, Minh should not move to Team 12","Yes, Nia should move to Team 14",100.0,I would not remove anyone,I would remove Ray,100.0,"No, Sam should not move to Team 16","Yes, Tim should move to Team 18",50.0,I would remove Val,I would not remove anyone,100.0,"Yes, Rue should move to Team 12","No, Sage should not move to Team 16",100.0,100.0,75.0,100.0,HIGH,HIGH,HIGH
141,I would remove Cam,I would not remove anyone,100.0,"No, Minh should not move to Team 12","Yes, Nia should move to Team 14",100.0,I would not remove anyone,I would not remove anyone,50.0,It doesn't matter: the change is very minor and it may create other problems,"Yes, Tim should move to Team 18",100.0,I would remove Val,I would not remove anyone,100.0,"Yes, Rue should move to Team 12","No, Sage should not move to Team 16",100.0,100.0,75.0,100.0,LOW,LOW,HIGH
142,"Not sure, I can't tell",I would not remove anyone,50.0,"Not sure, I can't tell","Not sure, I can't tell",0.0,I would remove Ken,I would remove Quan,0.0,"No, Sam should not move to Team 16","No, Tim should not move to Team 18",0.0,I would remove Wen,I would remove Zach,0.0,"Not sure, I can't tell","Not sure, I can't tell",0.0,25.0,0.0,0.0,LOW,LOW,HIGH
143,I would remove Cam,I would not remove anyone,100.0,"Yes, Minh should move to Team 12","Yes, Nia should move to Team 14",50.0,I would not remove anyone,I would not remove anyone,50.0,"No, Sam should not move to Team 16","No, Tim should not move to Team 18",0.0,I would remove Val,I would not remove anyone,100.0,"Yes, Rue should move to Team 12","No, Sage should not move to Team 16",100.0,75.0,25.0,100.0,LOW,LOW,HIGH
144,I would remove Cam,I would not remove anyone,100.0,"No, Minh should not move to Team 12","Yes, Nia should move to Team 14",100.0,"Not sure, I can't tell",I would remove Ray,50.0,"Yes, Sam should move to Team 16","Yes, Tim should move to Team 18",50.0,I would remove Val,"Not sure, I can't tell",50.0,"Not sure, I can't tell","Not sure, I can't tell",0.0,100.0,50.0,25.0,LOW,LOW,HIGH
145,I would remove Cam,"Not sure, I can't tell",50.0,"No, Minh should not move to Team 12","No, Nia should not move to Team 14",50.0,I would not remove anyone,I would remove Ray,100.0,"No, Sam should not move to Team 16","Yes, Tim should move to Team 18",50.0,I would remove Yun,I would not remove anyone,50.0,"No, Rue should not move to Team 12","No, Sage should not move to Team 16",50.0,50.0,75.0,50.0,HIGH,LOW,HIGH
146,I would remove Cam,"Not sure, I can't tell",50.0,"No, Minh should not move to Team 12","Yes, Nia should move to Team 14",100.0,I would not remove anyone,I would remove Ray,100.0,"No, Sam should not move to Team 16","Yes, Tim should move to Team 18",50.0,I would remove Val,"Not sure, I can't tell",50.0,"Yes, Rue should move to Team 12","No, Sage should not move to Team 16",100.0,75.0,75.0,75.0,LOW,HIGH,HIGH
147,I would remove Cam,I would not remove anyone,100.0,"No, Minh should not move to Team 12","Yes, Nia should move to Team 14",100.0,I would remove Lee,I would remove Quan,0.0,It doesn't matter: the change is very minor and it may create other problems,It doesn't matter: the change is very minor and it may create other problems,50.0,I would remove Val,I would not remove anyone,100.0,"Yes, Rue should move to Team 12","No, Sage should not move to Team 16",100.0,100.0,25.0,100.0,LOW,HIGH,HIGH
148,I would remove Cam,I would not remove anyone,100.0,It doesn't matter: the change is very minor and it would create other problems,"Yes, Nia should move to Team 14",50.0,I would not remove anyone,I would remove Ray,100.0,"Not sure, I can't tell","Not sure, I can't tell",0.0,I would not remove anyone,"Not sure, I can't tell",0.0,"Not sure, I can't tell","Not sure, I can't tell",0.0,75.0,50.0,0.0,LOW,LOW,HIGH
149,I would remove Cam,I would not remove anyone,100.0,It doesn't matter: the change is very minor and it would create other problems,"Yes, Nia should move to Team 14",50.0,I would not remove anyone,I would remove Ray,100.0,It doesn't matter: the change is very minor and it may create other problems,"Yes, Tim should move to Team 18",100.0,I would remove Val,I would not remove anyone,100.0,"No, Rue should not move to Team 12",It doesn't matter: the change is very minor and it would create other problems,0.0,75.0,100.0,50.0,HIGH,LOW,LOW
150,"Not sure, I can't tell","Not sure, I can't tell",0.0,"Not sure, I can't tell","Not sure, I can't tell",0.0,"Not sure, I can't tell","Not sure, I can't tell",0.0,"Not sure, I can't tell","Not sure, I can't tell",0.0,"Not sure, I can't tell","Not sure, I can't tell",0.0,"Not sure, I can't tell","Not sure, I can't tell",0.0,0.0,0.0,0.0,LOW,LOW,LOW
151,I would remove Cam,I would not remove anyone,100.0,"No, Minh should not move to Team 12","Yes, Nia should move to Team 14",100.0,I would not remove anyone,I would remove Ray,100.0,"No, Sam should not move to Team 16","Yes, Tim should move to Team 18",50.0,I would remove Val,I would not remove anyone,100.0,"Yes, Rue should move to Team 12","No, Sage should not move to Team 16",100.0,100.0,75.0,100.0,LOW,LOW,HIGH
152,I would remove Cam,I would not remove anyone,100.0,"Yes, Minh should move to Team 12","No, Nia should not move to Team 14",0.0,I would not remove anyone,I would remove Ray,100.0,"No, Sam should not move to Team 16","No, Tim should not move to Team 18",0.0,I would not remove anyone,I would remove Ada,0.0,It doesn't matter: the change is very minor and it would create other problems,"No, Sage should not move to Team 16",50.0,50.0,50.0,25.0,LOW,LOW,LOW
